Importance Ranking,Dataset,Information Included,Format,Pollutant Linkage,Risk Assessment Stage,Data Owner,Source,Link,Date Created,Updated,Licence,Confidentiality,Automated Processing,Note,Geographic Coverage,
1,Historical land use,Historical maps from approximately 1850 onwards (1:1250; 1:2500; 1:10000); potential sources of contamination,PDF; Geotiff,Source,Tier 1,Ordnance Survey,Envirocheck; Groundsure,NA,Various,NA,Not open,None,Potential for machine learning,Maps need to be reviewed by an enviromental consultant to identify potential sources of contamination,England,
1,Historical land use,Historical land uses from approximately 1850 onwards (map scale variable); potential sources of contamination,Online,Source,Tier 1,Various,www.old-maps.co.uk; www.oldmapsonline.org; maps.nls.uk,www.old-maps.co.uk; www.oldmapsonline.org; maps.nls.uk,Various,NA,Non-commercial use,None,Potential for machine learning,Maps need to be reviewed by an enviromental consultant to identify potential sources of contamination,England,
1,Historical land use,Potential sources of contamination as interpreted from historical mapping,PDF; GIS,Source,Tier 1,Groundsure; Landmark,Groundsure; Envirocheck,NA,Unknown,Unknown,As per Groundsure/Envirocheck report,None,YES,Check limitations prior to using the dataset,England,
1,Potentially infilled land,Potential sources of contamination as interpreted from historical mapping,PDF; GIS,Source,Tier 1,Groundsure; Landmark,Groundsure; Envirocheck,NA,Unknown,Unknown,As per Groundsure/Envirocheck report,None,YES,Check limitations prior to using the dataset,England,
1,Geology,Artificial ground (including infilled land); superficial geology; bedrock geology; geological faults; coal seams; boreholes; wells etc.,GIS/WMS,Source; Pathway,Tier 1,British Geological Survey,BGS website,https://www.bgs.ac.uk/data/services/digmap50wms.html,Not listed,Not listed,Open Government Licence; http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,None,Possibly,,England,
1,Geology,Artificial ground (including infilled land); superficial geology; bedrock geology; geological faults; coal seams; boreholes; wells; geological logs etc.,Online; ,Source; Pathway,Tier 1,British Geological Survey,BGS website,http://mapapps2.bgs.ac.uk/geoindex/home.html,Not listed,Not listed,Assumed Open Government Licence,None,Semi,"Most geological logs are scanned in, limited number of logs is available in AGS",England,
1,Geology,More detailed geology: Artificial ground (including infilled land); superficial geology; bedrock geology; geological faults; coal seams; cross-sections; detailed descriptions,Maps,Source; Pathway,Tier 1,British Geological Survey,BGS website,https://www.bgs.ac.uk/data/maps/maps.cfc?; method=listResults&MapName=&series=E50k&scale=&pageSize=100&getLatest=Y; https://www.bgs.ac.uk/data/maps/maps.cfc?method=listResults&MapName=&series=S50k&scale=&pageSize=100&getLatest=Y,Various,Various,Open Government Licence; http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,None,NO,,England; Wales; Scotland,
2,Normal background concentrations of contaminants,Arsenic; benzo(a)pyrene; cadmium; chromium; copper; lead; mercury; nickel,GIS/WMS,Other,Tier 2,British Geological Survey,BGS website,https://www.bgs.ac.uk/data/services/bccswms.html,Unknown,Unknown,Open Government Licence; http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,None,YES,,England only,
1,Contaminated Land Register Entries and Notices,"Land designated as ""contaminated land"" according to Part 2A of the Environmental Protection Act 1990",PDF; GIS,Source,Tier 1,Local councils (Environmental Health Department),Envirocheck; Groundsure; Local council websites; data.gov.uk,https://data.gov.uk/dataset/fac2735b-4dd6-47ad-9765-f770a639d19a/sheffield-contaminated-land; https://www.manchester.gov.uk/directory/71/contaminated_land; https://www.kirklees.gov.uk/beta/planning-applications/contaminated-land.aspx,2013,Annualy,Open Government Licence; http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,None,Semi,"Some councils have information available on websites including some detail about risk assessment, some on data.gov.uk as WMS layers, some on paid request (Kirklees Council)",England,
1,Discharge Consents to Controlled Waters,These data provide details of all permit details as required under the Environmental Permit Regulation. Information is held for all permit holders and covers all substances that are controlled.,PDF; GIS; MS Access,Source,Tier 1,Environment Agency,Envirocheck; Groundsure; data.gov.uk,https://data.gov.uk/dataset/55b8eaa8-60df-48a8-929a-060891b7a109/consented-discharges-to-controlled-waters-with-conditions,2014,Quarterly,Environment Agency Conditional Licence; https://www.gov.uk/government/publications/environment-agency-conditional-licence/environment-agency-conditional-licence,None,Semi,,England,
